15683
I||
IZJJ|34952,36074,139|2;3;2,0,5;4
IZJL|4369,4477,29|3;4,5;1,5,4;4,5
IZJL|34952,35006,142|2;;4;4
IZJL|34952,35513,142|2;2;3,4,5,4;4
IZLJ|34952,35513,3001|2;2;4;1,2,5,4
IZTJ|4369,4477,2525|3;4,5;1,5,3;2,5
IZTJ|34952,35006,3310|2;;3;2,0,5
JIIJ|23,23,23|;;;1,5,4
JIIJ|232,232,232|1,4;;;2,5,3
JIIJ|547,18023,3310|2,4;2,5;3,5,3,3,5;2,0,5
JIIJ|547,35499,3310|2,4;2,5,1;2,5;2,0,5
JIIJ|1094,5463,2525|3;2,5;2,5;2,5
JIIJ|1094,36046,2525|3;3,4,1,5;2,5;2,5
JIIJ|2188,6557,955|1,3;3,5,0;3,5;1,2,5
JIIJ|2188,10926,955|1,3;3,5;3,5;1,2,5
JIIL|785,18261,3293|2;2,5;2,5;3,5
JIIL|785,35737,3293|2;3,5;2,5;3,5
JIIL|1570,5939,2491|1,2;3,5;2,5;1,3,5
JIIL|1570,36522,2491|1,2;3,5,3,2,5;3,5;1,3,5
JIIL|3140,7509,887|3,4;2,5;3,5;3,1,5
JIIL|3140,11878,887|3,4;3,5;3,5;3,1,5
JIJI|547,18023,30583|2,4;2,5;2,0,5;2,5
JIJI|547,35499,48059|2,4;2,5,1;2,5;2,5
JIJI|1094,5463,30583|3;2,5;2,5;2,5
JIJI|1094,36046,61166|3;3,4,1,5;2,5;3,5
JIJI|2188,6557,56797|1,3;3,5,0;1,5,2,5;3,5
JIJI|2188,10926,61166|1,3;3,5;1,2,5;3,5
JIJO|23,2185,153|;3;;
JIJO|23,2185,204|;3;3;0,5
JIJO|46,46,51|1;;2,5;1,5
JIJO|46,275,51|1;3;1,5;1,5
JIJO|46,275,153|1;3;1,5,3;
JIJO|116,2188,204|4;3;4;0,5
JIJO|232,281,153|1,4;3;1,5,4;
JIJO|785,785,51|2;;1,3,5,2;1,5
JIJO|785,35737,153|2;3,5;4;
JIJO|1570,5939,51|1,2;3,5;1,5,4;1,5
JIJO|2188,2188,204|1,3;;4;0,5
JIJS|116,2188,156|4;3;;1,5,4
JIJS|232,232,57|1,4;;2,5,3,2;4
JIJS|232,281,57|1,4;3;1,5;4
JIJS|785,785,57|2;;1,2,5,2;4
JIJS|2188,2188,156|1,3;;;1,5,4
JIJT|23,2185,141|;3;4;4
JIJT|46,275,27|1;3;1,5,4;1,5,4
JIJT|785,35737,141|2;3,5;3,4,5,4,5;4
JIJT|1094,36046,141|3;3,4,1,5;2,5,0,5;4
JIJT|2188,6557,27|1,3;3,5,0;2,5;1,5,4
JIJZ|116,2188,2973|4;3;2,0;1,2,4
JIJZ|785,785,2973|2;;1,3,5;1,2,4
JIJZ|2188,2188,2973|1,3;;2,0;1,2,4
JILO|23,2185,153|;3;4;
JILO|46,275,51|1;3;4,5;1,5
JILO|116,116,204|4;;1,3,5;0,5
JILO|116,2188,153|4;3;2;
JILO|116,2188,204|4;3;;0,5
JILO|232,281,51|1,4;3;2,5;1,5
JILO|232,281,153|1,4;3;1,5;
JILO|785,785,51|2;;1,2,5,2;1,5
JILO|785,785,153|2;;3,5,1,5;
JILO|2188,2188,153|1,3;;2;
JILO|2188,2188,204|1,3;;;0,5
JILS|46,275,3483|1;3;1,5,3,1;3,4
JILS|785,785,57|2;;1,2,5,3,5;4
JILT|116,2188,141|4;3;4;4
JILT|232,281,27|1,4;3;4,5;1,5,4
JILT|2188,2188,141|1,3;;4;4
JILZ|23,23,201|;;1,5,3;1,4
JILZ|23,2185,201|;3;;1,4
JILZ|46,275,147|1;3;1,5;4
JILZ|1094,36046,3534|3;3,4,1,5;4;2,4
JILZ|2188,6557,2973|1,3;3,5,0;4,5;1,2,4
JIOJ|46,46,3310|1;;1,5;2,0,5
JIOJ|116,2188,139|4;3;0,5;4
JIOJ|232,281,23|1,4;3;;1,5,4
JIOJ|2188,2188,139|1,3;;0,5;4
JIOL|23,2185,142|;3;;4
JIOL|46,275,29|1;3;1,5;4,5
JIOL|785,785,887|2;;1,5,0;3,1,5
JIOL|1094,36046,142|3;3,4,1,5;0,5;4
JIOL|2188,6557,29|1,3;3,5,0;;4,5
JISL|23,2185,2491|;3;3;1,3,5
JISL|46,275,887|1;3;2,5;3,1,5
JISL|116,2188,142|4;3;4;4
JISL|232,281,29|1,4;3;1,5,4;4,5
JISL|2188,2188,142|1,3;;4;4
JITJ|23,2185,139|;3;4;4
JITJ|46,275,23|1;3;1,5,4;1,5,4
JITL|116,2188,142|4;3;4;4
JITL|232,281,29|1,4;3;1,5,4;4,5
JITL|2188,2188,142|1,3;;4;4
JITT|23,23,141|;;1,5,3;4
JITT|1094,36046,141|3;3,4,1,5;2,0,5;4
JITT|2188,6557,27|1,3;3,5,0;2,5;1,5,4
JIZJ|23,2185,139|;3;4;4
JIZJ|46,275,23|1;3;1,5,4;1,5,4
JIZJ|116,2188,3310|4;3;2;2,0,5
JIZJ|232,281,2525|1,4;3;3,5,1;2,5
JIZJ|2188,2188,3310|1,3;;2;2,0,5
JIZL|23,23,887|;;;3,1,5
JIZL|1094,36046,142|3;3,4,1,5;3,5;4
JIZL|2188,6557,29|1,3;3,5,0;2,5;4,5
JJII|547,13107,30583|2,4;2,5;2,5;2,5
JJII|547,13107,48059|2,4;2,5;3,5;2,5
JJII|1094,26214,30583|3;2,5;3,5;2,5
JJIO|23,5911,153|;;2,5;
JJIO|23,17527,204|;3;3,4,1,5;0,5
JJIO|46,51,51|1;2,5;;1,5
JJIO|46,11822,51|1;1;3,5;1,5
